"id","name","address","latitude","longitude","kakaoSearchKeyword","selectedKakaoPlaceName","selectedKakaoPlaceId","selectedKakaoPlaceUrl","confidenceScore","kakaoNeedsReview","reason","candidate1PlaceName","candidate1Id","candidate1PlaceUrl","candidate1AddressName","candidate1RoadAddressName","candidate1CategoryName","candidate2PlaceName","candidate2Id","candidate2PlaceUrl","candidate2AddressName","candidate2RoadAddressName","candidate2CategoryName","candidate3PlaceName","candidate3Id","candidate3PlaceUrl","candidate3AddressName","candidate3RoadAddressName","candidate3CategoryName"
"place-001","국립중앙박물관","서울 용산구 서빙고로 137","37.5239","126.9803","국립중앙박물관","국립중앙박물관","8830150","https://place.map.kakao.com/8830150","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 서울·용산구·서빙고로·137·용산 일치 · 기존 좌표에서 10m · 카테고리 박물관 일치 · 기존 장소 ID 일치","국립중앙박물관","8830150","https://place.map.kakao.com/8830150","서울 용산구 용산동6가 168-6","서울 용산구 서빙고로 137","문화,예술 > 문화시설 > 박물관","국립중앙박물관 상설전시관","17558259","https://place.map.kakao.com/17558259","서울 용산구 용산동6가 168-6","서울 용산구 서빙고로 137","문화,예술 > 문화시설 > 전시관","국립중앙박물관 대강당","1969680356","https://place.map.kakao.com/1969680356","서울 용산구 용산동6가 168-6","서울 용산구 서빙고로 137","문화,예술 > 문화시설"
"place-002","코엑스 아쿠아리움","서울 강남구 영동대로 513","37.5134","127.0588","코엑스 아쿠아리움","코엑스 아쿠아리움","12860036","https://place.map.kakao.com/12860036","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 서울·강남구·영동대로·513·강남 일치 · 기존 좌표에서 28m · 카테고리 아쿠아리움 일치 · 기존 장소 ID 일치","코엑스 아쿠아리움","12860036","https://place.map.kakao.com/12860036","서울 강남구 삼성동 159","서울 강남구 영동대로 513","문화,예술 > 문화시설 > 아쿠아리움","","","","","","","","","","","",""
"place-003","롯데월드","서울 송파구 올림픽로 240","37.5111","127.0982","롯데월드 어드벤처","롯데월드 어드벤처","27560699","https://place.map.kakao.com/27560699","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 서울·송파구·올림픽로·240·송파 일치 · 기존 좌표에서 7m · 카테고리 테마파크 일치 · 기존 장소 ID 일치","롯데월드 어드벤처","27560699","https://place.map.kakao.com/27560699","서울 송파구 잠실동 40-1","서울 송파구 올림픽로 240","여행 > 관광,명소 > 테마파크","롯데월드 어드벤처 메이플아일랜드","1473759919","https://place.map.kakao.com/1473759919","서울 송파구 잠실동 47-1","서울 송파구 송파나루길 15","여행 > 관광,명소 > 테마파크 > 테마파크시설","퍼틴 롯데월드점","1233410107","https://place.map.kakao.com/1233410107","서울 송파구 잠실동 40-1","서울 송파구 올림픽로 240","음식점 > 아시아음식 > 동남아음식 > 베트남음식"
"place-004","서울어린이대공원","서울 광진구 능동로 216","37.5494","127.0811","서울어린이대공원","서울어린이대공원","1512054004","https://place.map.kakao.com/1512054004","100","false","자동 매칭 승인 · 이름 정확히 일치 · 지역 서울·광진구·능동로·216·광진 일치 · 기존 좌표에서 99m · 기존 장소 ID 일치 · 2위와 21점 차이","서울어린이대공원","1512054004","https://place.map.kakao.com/1512054004","서울 광진구 능동 18","서울 광진구 능동로 216","여행 > 관광,명소 > 테마파크","서울어린이대공원 식물원","7993544","https://place.map.kakao.com/7993544","서울 광진구 능동 18-40","서울 광진구 광나루로 441","여행 > 관광,명소 > 수목원,식물원","서울어린이대공원 동물원","17556470","https://place.map.kakao.com/17556470","서울 광진구 능동 18","","여행 > 관광,명소 > 동물원"
"place-005","서울식물원","서울 강서구 마곡동로 161","37.5694","126.835","서울식물원","서울식물원","1164966384","https://place.map.kakao.com/1164966384","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 서울·강서구·마곡동로·161·강서 일치 · 기존 좌표에서 3m · 기존 장소 ID 일치","서울식물원","1164966384","https://place.map.kakao.com/1164966384","서울 강서구 마곡동 727-256","서울 강서구 마곡동로 161","여행 > 관광,명소 > 수목원,식물원","서울식물원 식물문화센터","1825513490","https://place.map.kakao.com/1825513490","서울 강서구 마곡동 727-256","서울 강서구 마곡동로 161","여행 > 관광,명소 > 수목원,식물원","서울식물원 식물문화센터 지하주차장","1090811713","https://place.map.kakao.com/1090811713","서울 강서구 마곡동 812","서울 강서구 마곡동로 161","교통,수송 > 교통시설 > 주차장"
"place-006","서대문자연사박물관","서울 서대문구 연희로32길 51","37.5767","126.9379","서대문자연사박물관","서대문자연사박물관","11139995","https://place.map.kakao.com/11139995","100","false","자동 매칭 승인 · 이름 정확히 일치 · 지역 서울·서대문구·연희로32길·51·서대문 일치 · 기존 좌표에서 6m · 카테고리 박물관 일치 · 기존 장소 ID 일치 · 2위와 21점 차이","서대문자연사박물관","11139995","https://place.map.kakao.com/11139995","서울 서대문구 연희동 141-52","서울 서대문구 연희로32길 51","문화,예술 > 문화시설 > 박물관","서대문자연사박물관 전시교육팀","9105315","https://place.map.kakao.com/9105315","서울 서대문구 연희동 141-52","서울 서대문구 연희로32길 51","서비스,산업 > 관리,운영 > 문화시설관리운영","서대문자연사박물관 주차장","20590581","https://place.map.kakao.com/20590581","서울 서대문구 연희동 141-52","","교통,수송 > 교통시설 > 주차장"
"place-007","서울숲","서울 성동구 성수동1가 678-1","37.5444","127.0374","서울숲","서울숲","11331488","https://place.map.kakao.com/11331488","100","false","자동 매칭 승인 · 이름 정확히 일치 · 지역 서울·성동구·성수동1가·6781·성동 일치 · 기존 좌표에서 21m · 카테고리 공원 일치 · 기존 장소 ID 일치 · 2위와 38점 차이","서울숲","11331488","https://place.map.kakao.com/11331488","서울 성동구 성수동1가 678-1","","여행 > 공원 > 도시근린공원","서울형키즈카페 시립 서울숲점","2081050390","https://place.map.kakao.com/2081050390","서울 성동구 성수동1가 720","","가정,생활 > 유아 > 놀이시설 > 키즈카페 > 서울형키즈카페","서울숲씨어터","1772440780","https://place.map.kakao.com/1772440780","서울 성동구 성수동1가 685-696","서울 성동구 서울숲2길 32-14","문화,예술 > 문화시설 > 공연장,연극극장"
"place-008","국립어린이과학관","서울 종로구 창경궁로 215","37.5812","126.9975","국립어린이과학관","국립어린이과학관","1955379751","https://place.map.kakao.com/1955379751","100","false","자동 매칭 승인 · 이름 정확히 일치 · 지역 서울·종로구·창경궁로·215·종로 일치 · 기존 좌표에서 91m · 카테고리 과학관 일치 · 기존 장소 ID 일치 · 2위와 21점 차이","국립어린이과학관","1955379751","https://place.map.kakao.com/1955379751","서울 종로구 와룡동 2-70","서울 종로구 창경궁로 215","문화,예술 > 문화시설 > 과학관","국립어린이과학관 빛놀이터","1842491908","https://place.map.kakao.com/1842491908","서울 종로구 와룡동 2-70","","문화,예술 > 문화시설 > 전시관","","","","","",""
"place-009","여의도한강공원","서울 영등포구 여의도동 85","37.5285","126.9349","여의도한강공원","여의도한강공원","10952963","https://place.map.kakao.com/10952963","100","false","자동 매칭 승인 · 이름 정확히 일치 · 지역 서울·영등포구·여의도동·85·영등포 일치 · 기존 좌표에서 235m · 카테고리 공원 일치 · 기존 장소 ID 일치 · 2위와 24점 차이","여의도한강공원","10952963","https://place.map.kakao.com/10952963","서울 영등포구 여의도동 85","","여행 > 공원 > 도시근린공원","여의도한강공원 이벤트광장","17924712","https://place.map.kakao.com/17924712","서울 영등포구 여의도동 84-4","","여행 > 공원시설물","여의도한강공원 멀티플라자","25758412","https://place.map.kakao.com/25758412","서울 영등포구 여의도동 84-4","","여행 > 공원시설물"
"place-010","별마당도서관","서울 강남구 삼성동 159-9","37.5101","127.06","별마당도서관","별마당도서관 스타필드코엑스몰","2104663194","https://place.map.kakao.com/2104663194","100","false","자동 매칭 승인 · 이름 정확히 일치 · 지역 서울·강남구·삼성동·1599·강남 일치 · 기존 좌표에서 17m · 카테고리 도서관 일치 · 기존 장소 ID 일치 · 2위와 66점 차이","별마당도서관 스타필드코엑스몰","2104663194","https://place.map.kakao.com/2104663194","서울 강남구 삼성동 159-9","","교육,학문 > 학습시설 > 도서관","퍼센트아라비카 1호점","109565743","https://place.map.kakao.com/109565743","서울 강남구 삼성동 159-9","","음식점 > 카페","","","","","",""
"place-011","서울역사박물관","서울 종로구 새문안로 55","37.5705","126.9707","서울역사박물관","서울역사박물관","7934135","https://place.map.kakao.com/7934135","100","false","자동 매칭 승인 · 이름 정확히 일치 · 지역 서울·종로구·새문안로·55·종로 일치 · 기존 좌표에서 13m · 카테고리 박물관 일치 · 기존 장소 ID 일치 · 2위와 21점 차이","서울역사박물관","7934135","https://place.map.kakao.com/7934135","서울 종로구 신문로2가 2-1","서울 종로구 새문안로 55","문화,예술 > 문화시설 > 박물관","서울역사박물관 어린이박물관","1741458115","https://place.map.kakao.com/1741458115","서울 종로구 신문로2가 2-1","서울 종로구 새문안로 55","문화,예술 > 문화시설 > 박물관","서울역사박물관 주차장","618986748","https://place.map.kakao.com/618986748","서울 종로구 신문로2가 1-126","서울 종로구 새문안로 45","교통,수송 > 교통시설 > 주차장"
"place-012","서울공예박물관","서울 종로구 율곡로3길 4","37.5768","126.9832","서울공예박물관","서울공예박물관","1038056172","https://place.map.kakao.com/1038056172","100","false","자동 매칭 승인 · 이름 정확히 일치 · 지역 서울·종로구·율곡로3길·종로 일치 · 기존 좌표에서 19m · 카테고리 박물관 일치 · 기존 장소 ID 일치 · 2위와 21점 차이","서울공예박물관","1038056172","https://place.map.kakao.com/1038056172","서울 종로구 안국동 175-112","서울 종로구 율곡로3길 4","문화,예술 > 문화시설 > 박물관","서울공예박물관 어린이박물관","1395978192","https://place.map.kakao.com/1395978192","서울 종로구 안국동 175-112","서울 종로구 율곡로3길 4","문화,예술 > 문화시설 > 박물관","서울공예박물관 직물보존연구센터","133825377","https://place.map.kakao.com/133825377","서울 종로구 안국동 175-112","서울 종로구 율곡로3길 4","문화,예술 > 문화시설 > 전시관"
"place-013","국립민속박물관","서울 종로구 삼청로 37","37.5814","126.9788","국립민속박물관 본관","국립민속박물관 본관","8191467","https://place.map.kakao.com/8191467","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 서울·종로구·삼청로·37·종로 일치 · 기존 좌표에서 38m · 카테고리 박물관 일치 · 기존 장소 ID 일치","국립민속박물관 본관","8191467","https://place.map.kakao.com/8191467","서울 종로구 세종로 1-1","서울 종로구 삼청로 37","문화,예술 > 문화시설 > 박물관","","","","","","","","","","","",""
"place-014","국립고궁박물관","서울 종로구 효자로 12","37.5766","126.9749","국립고궁박물관","국립고궁박물관","8214304","https://place.map.kakao.com/8214304","100","false","자동 매칭 승인 · 이름 정확히 일치 · 지역 서울·종로구·효자로·12·종로 일치 · 기존 좌표에서 6m · 카테고리 박물관 일치 · 기존 장소 ID 일치 · 2위와 24점 차이","국립고궁박물관","8214304","https://place.map.kakao.com/8214304","서울 종로구 세종로 1-57","서울 종로구 효자로 12","문화,예술 > 문화시설 > 박물관","국립고궁박물관 별관","1054632204","https://place.map.kakao.com/1054632204","서울 종로구 세종로 1-1","서울 종로구 사직로 161","문화,예술 > 문화시설 > 박물관","국립고궁박물관 전시동 1,2,지하1층 개방화장실","26336002","https://place.map.kakao.com/26336002","서울 종로구 세종로 1-57","서울 종로구 효자로 12","가정,생활 > 화장실"
